block_name,fom_id,status,comment_open,comment_closed,comment_open_now,planned_date,create_date,planned_area_ha,watershed,oldgrowth_overlap_ha,ancient_overlap_ha,deferral_overlap_ha,ogma_overlap_ha,nearest_rec_m,nearest_fish_m,why_matters,priority_score
ROA25-1,3188,Open for comment,2026-06-03,2026-07-03,yes,2026-10-15,2026-06-01,15.1,Alberni Valley area,0.0,0.0,0.0,0.0,10862,4967,,0.0
F036001,3188,Open for comment,2026-06-03,2026-07-03,yes,2026-10-15,2026-06-01,26.1,Alberni Valley area,0.0,0.0,0.0,0.0,9739,3379,,0.0
COO25-1,3188,Open for comment,2026-06-03,2026-07-03,yes,2026-10-15,2026-06-01,15.9,Alberni Valley area,0.0,0.0,0.0,0.0,13590,804,,0.0
NIL25-1,3188,Open for comment,2026-06-03,2026-07-03,yes,2026-10-15,2026-06-01,3.0,Alberni Valley area,0.0,0.0,0.0,0.0,17792,381,,0.0
171128,3247,Open for comment,2026-06-24,2026-07-24,yes,2026-06-16,2026-06-17,1.6,Franklin River,0.0,0.0,0.0,0.0,4970,55,near a fish record,8.0
171130,3247,Open for comment,2026-06-24,2026-07-24,yes,2026-06-16,2026-06-17,4.9,Franklin River,0.0,0.0,0.0,0.0,8193,608,,0.0
073322,3247,Open for comment,2026-06-24,2026-07-24,yes,2026-06-15,2026-06-17,10.2,Franklin River,0.0,0.0,0.0,0.0,6765,539,,0.0
171127,3247,Open for comment,2026-06-24,2026-07-24,yes,2026-06-16,2026-06-17,35.1,Franklin River,0.0,0.0,0.0,0.0,4252,323,,0.0
F025C3YL,1222,Comment closed,2024-04-03,2024-05-06,no,2026-07-02,2024-05-07,26.6,Nahmint River,24.24,0.0,23.88,5.63,7752,875,overlaps mapped old growth; in a priority-deferral area; overlaps a protected old-growth area,92.6
F024C4RZ,1222,Comment closed,2024-04-03,2024-05-06,no,2027-07-08,2024-05-07,33.1,Nahmint River,24.9,0.0,24.74,0.3,4378,700,overlaps mapped old growth; in a priority-deferral area; overlaps a protected old-growth area,87.3
F025C4LF,1222,Comment closed,2024-04-03,2024-05-06,no,2028-07-13,2024-05-07,32.8,Nahmint River,17.64,0.0,17.64,2.83,5509,545,overlaps mapped old growth; in a priority-deferral area; overlaps a protected old-growth area,66.0
F024C3CE,1222,Comment closed,2024-04-03,2024-05-06,no,2028-07-13,2024-05-07,15.0,Nahmint River,14.84,0.0,13.77,1.09,7889,1197,overlaps mapped old growth; in a priority-deferral area; overlaps a protected old-growth area,51.4
F016C4D2,2294,Comment closed,2025-05-21,2025-06-21,no,2029-07-05,2025-06-25,19.7,Alberni Valley area,15.8,0.0,10.9,0.0,7674,1336,overlaps mapped old growth; in a priority-deferral area,45.5
F025C3CR,2294,Comment closed,2025-05-21,2025-06-21,no,2029-06-01,2025-06-25,11.9,Sproat River,11.88,0.0,11.88,0.0,6180,2081,overlaps mapped old growth; in a priority-deferral area,41.6
ALna5U1,2856,Comment closed,2026-03-02,2026-04-02,no,2027-04-01,2026-04-13,15.0,Nahmint River,14.86,0.0,0.0,0.0,4357,235,overlaps mapped old growth; near a fish record,30.3
ALsp3D0,1222,Comment closed,2024-04-03,2024-05-06,no,2027-05-06,2024-05-07,8.7,Sproat River,8.6,0.0,8.6,0.0,6291,2377,overlaps mapped old growth; in a priority-deferral area,30.1
F015C3YM,1222,Comment closed,2024-04-03,2024-05-06,no,2026-07-02,2024-05-07,34.4,Nahmint River,7.75,0.0,7.72,1.36,6696,1408,overlaps mapped old growth; in a priority-deferral area; overlaps a protected old-growth area,29.1
ALna4YW,1222,Comment closed,2024-04-03,2024-05-06,no,2026-07-09,2024-05-07,4.2,Nahmint River,4.22,4.15,4.15,0.0,4753,992,overlaps ancient old growth (over 400 yr); in a priority-deferral area,27.1
ALsp4Y3,1222,Comment closed,2024-04-03,2024-05-06,no,2026-07-09,2024-05-07,11.1,Sproat River,4.14,4.05,4.05,0.0,5098,1028,overlaps ancient old growth (over 400 yr); in a priority-deferral area,26.5
TOlk2RU,1222,Comment closed,2024-04-03,2024-05-06,no,2026-04-01,2024-05-07,11.7,Alberni Valley area,11.54,0.0,0.18,0.0,18955,41,overlaps mapped old growth; in a priority-deferral area; near a fish record,25.7
ALcu4W5,1222,Comment closed,2024-04-03,2024-05-06,no,2027-05-06,2024-05-07,24.3,Alberni Valley area,0.0,0.0,12.53,0.0,517,456,in a priority-deferral area,25.1
TOlk5PE,1222,Comment closed,2024-04-03,2024-05-06,no,2026-05-07,2024-05-07,11.5,Alberni Valley area,11.11,0.0,0.16,0.0,20277,195,overlaps mapped old growth; in a priority-deferral area; near a fish record,25.0
ALcu577,2294,Comment closed,2025-05-21,2025-06-21,no,2029-07-05,2025-06-25,5.8,Alberni Valley area,5.8,1.26,5.69,0.0,7609,2132,overlaps ancient old growth (over 400 yr); in a priority-deferral area,23.9
ALna4YP,1222,Comment closed,2024-04-03,2024-05-06,no,2026-07-09,2024-05-07,7.5,Nahmint River,7.45,0.0,5.62,0.0,3818,1168,overlaps mapped old growth; in a priority-deferral area,22.4
ALsp4YG,1222,Comment closed,2024-04-03,2024-05-06,no,2026-07-07,2024-05-07,13.4,Sproat River,3.36,3.36,3.36,0.0,5425,1064,overlaps ancient old growth (over 400 yr); in a priority-deferral area,21.8
ALcu5U9,2856,Comment closed,2026-03-02,2026-04-02,no,2027-04-01,2026-04-13,33.1,Alberni Valley area,13.49,0.12,0.39,0.0,7190,1528,overlaps ancient old growth (over 400 yr); in a priority-deferral area,21.4
ALsp4Y0,1222,Comment closed,2024-04-03,2024-05-06,no,2026-07-09,2024-05-07,11.2,Nahmint River,10.94,0.0,0.0,0.0,4716,1277,overlaps mapped old growth,16.4
ALsp59Y,1222,Comment closed,2024-04-03,2024-05-06,no,2026-07-09,2024-05-07,4.3,Sproat River,3.98,0.0,3.65,0.0,1864,1453,overlaps mapped old growth; in a priority-deferral area,13.3
F015C4CX,1222,Comment closed,2024-04-03,2024-05-06,no,2024-07-04,2024-05-07,7.9,Alberni Valley area,7.89,0.0,0.0,0.0,3897,2995,overlaps mapped old growth,11.8
EFF028,3126,Comment closed,2026-05-07,2026-06-06,no,2026-09-01,2026-05-01,1.6,Alberni Valley area,1.05,0.0,1.05,0.0,14113,187,overlaps mapped old growth; in a priority-deferral area; near a fish record,11.7
EFF021,3074,Comment closed,2026-04-01,2026-05-01,no,2026-09-26,2026-03-27,1.1,Alberni Valley area,0.92,0.0,0.92,0.0,12544,149,overlaps mapped old growth; in a priority-deferral area; near a fish record,11.2
EFF027,3126,Comment closed,2026-05-07,2026-06-06,no,2026-09-01,2026-05-01,1.0,Alberni Valley area,0.82,0.0,0.82,0.0,12214,116,overlaps mapped old growth; in a priority-deferral area; near a fish record,10.9
ALcu57Q,1222,Comment closed,2024-04-03,2024-05-06,no,2025-08-07,2024-05-07,34.5,Alberni Valley area,0.0,0.0,1.34,0.0,708,210,in a priority-deferral area; near a fish record,10.7
F025C3YX,2856,Comment closed,2026-03-02,2026-04-02,no,2026-04-01,2026-04-13,17.4,Nahmint River,1.43,0.0,0.0,0.0,1950,9,overlaps mapped old growth; near a fish record,10.1
EFF023,3074,Comment closed,2026-04-01,2026-05-01,no,2026-09-26,2026-03-27,0.7,Alberni Valley area,0.7,0.0,0.0,0.0,12138,275,overlaps mapped old growth; near a fish record,9.1
ALna5T8,2294,Comment closed,2025-05-21,2025-06-21,no,2025-07-09,2025-06-25,8.5,Sproat River,1.77,1.29,1.29,0.0,2268,1227,overlaps ancient old growth (over 400 yr); in a priority-deferral area,9.1
F025C4RY,1222,Comment closed,2024-04-03,2024-05-06,no,2027-07-07,2024-05-07,0.4,Nahmint River,0.37,0.0,0.0,0.0,4969,241,overlaps mapped old growth; near a fish record,8.6
EFF013,3074,Comment closed,2026-04-01,2026-05-01,no,2026-09-26,2026-03-27,5.5,Alberni Valley area,5.52,0.0,0.0,0.0,11580,1114,overlaps mapped old growth,8.3
EFF010,3074,Comment closed,2026-04-01,2026-05-01,no,2026-09-26,2026-03-27,2.9,Alberni Valley area,2.89,0.0,2.0,0.0,13343,2505,overlaps mapped old growth; in a priority-deferral area,8.3
EFF012,3074,Comment closed,2026-04-01,2026-05-01,no,2026-09-26,2026-03-27,2.3,Alberni Valley area,2.34,0.0,2.34,0.0,12105,2930,overlaps mapped old growth; in a priority-deferral area,8.2
EFF029,3126,Comment closed,2026-05-07,2026-06-06,no,2026-09-01,2026-05-01,4.9,Alberni Valley area,0.0,0.0,0.0,0.0,13818,80,near a fish record,8.0
COUS17,2856,Comment closed,2026-03-02,2026-04-02,no,2026-04-01,2026-04-13,24.8,Alberni Valley area,0.0,0.0,0.0,0.0,8505,152,near a fish record,8.0
