tier,identifier,opening_id,vccb_sysid,harvest_start_date,harvest_start_year,block_area_ha,watershed,deferral_overlap_ha,oldgrowth_overlap_ha,ancient_overlap_ha,ogma_overlap_ha,nearest_stream_m,nearest_rec_site_m,nearest_rec_site,nearest_fish_record_m,after_deferral_recommendation,risk_flags,priority_score
1,OPENING_ID 1779806,1779806,566474,2021-09-05,2021,12.8,Alberni Valley area,12.36,12.37,0.0,0.0,42.0,46332.0,KNOB POINT,94.0,False,priority-deferral; old growth (TAP); stream; fish record,102.9
1,OPENING_ID 1793679,1793679,579636,2024-02-01,2024,25.0,Somass River,0.0,24.87,0.0,0.0,8.0,76155.0,KNOB POINT,1112.0,False,old growth (TAP); stream,76.6
1,OPENING_ID 1769635,1769635,547387,2021-06-28,2021,31.6,Sproat River,2.34,20.3,0.0,0.0,0.0,55238.0,KNOB POINT,1687.0,False,priority-deferral; old growth (TAP); stream,74.6
1,OPENING_ID 1753031,1753031,535314,2021-03-03,2021,20.6,Alberni Valley area,0.0,20.61,0.0,0.0,45.0,49533.0,KNOB POINT,416.0,False,old growth (TAP); stream,63.8
1,OPENING_ID 1779808,1779808,566475,2021-12-01,2021,7.7,Alberni Valley area,7.67,7.67,0.0,0.0,54.0,46737.0,KNOB POINT,515.0,True,priority-deferral; old growth (TAP); stream,63.4
1,OPENING_ID 1790251,1790251,576417,2022-07-18,2022,7.1,Sproat River,7.02,7.04,0.15,0.0,0.0,56548.0,KNOB POINT,2587.0,True,priority-deferral; old growth (TAP); stream,58.2
1,OPENING_ID 1794791,1794791,580861,2022-04-28,2022,9.6,Nahmint River,5.9,7.28,0.0,0.0,2.0,47706.0,KNOB POINT,1776.0,True,priority-deferral; old growth (TAP); stream,53.4
1,OPENING_ID 1797355,1797355,583393,2024-03-16,2024,15.6,Nahmint River,0.0,15.5,0.0,0.0,20.0,57052.0,KNOB POINT,366.0,False,old growth (TAP); stream,48.5
1,OPENING_ID 1779805,1779805,566472,2021-10-15,2021,5.2,Alberni Valley area,4.75,4.75,0.0,0.0,0.0,49667.0,KNOB POINT,3299.0,False,priority-deferral; old growth (TAP); stream,40.0
1,OPENING_ID 1793599,1793599,579563,2024-08-09,2024,5.1,Alberni Valley area,4.66,4.73,0.0,0.0,0.0,48315.0,KNOB POINT,2085.0,True,priority-deferral; old growth (TAP); stream,39.5
1,OPENING_ID 1779806,1779806,566473,2021-06-21,2021,4.6,Alberni Valley area,4.58,4.58,0.0,0.0,75.0,46526.0,KNOB POINT,285.0,False,priority-deferral; old growth (TAP); stream,38.6
1,OPENING_ID 1769634,1769634,547385,2022-02-16,2022,11.5,Sproat River,3.66,5.59,0.0,0.0,0.0,56009.0,KNOB POINT,2240.0,True,priority-deferral; old growth (TAP); stream,37.1
1,OPENING_ID 1789283,1789283,575358,2022-09-26,2022,11.7,Alberni Valley area,0.0,11.63,0.0,0.0,1.0,41324.0,KNOB POINT,3077.0,False,old growth (TAP); stream,36.9
1,VCCB_SYSID 86075,,86075,2025-01-18,2025,5.9,Alberni Valley area,4.16,4.16,0.0,0.0,0.0,39680.0,KNOB POINT,2886.0,True,priority-deferral; old growth (TAP); stream,35.3
1,OPENING_ID 1802643,1802643,588664,2025-07-16,2025,9.5,Somass River,1.31,9.35,0.0,0.0,215.0,78993.0,KNOB POINT,777.0,True,priority-deferral; old growth (TAP),34.6
1,OPENING_ID 1790251,1790251,576416,2021-06-28,2021,6.6,Sproat River,3.23,5.35,0.0,0.0,0.0,56261.0,KNOB POINT,2496.0,False,priority-deferral; old growth (TAP); stream,34.2
1,OPENING_ID 1756320,1756320,537637,2021-01-01,2021,9.9,Somass River,0.53,9.85,0.53,0.0,14.0,77702.0,KNOB POINT,1610.0,False,priority-deferral; old growth (TAP); stream,34.2
1,OPENING_ID 1754128,1754128,535827,2020-06-10,2020,46.0,Alberni Valley area,0.0,9.66,0.0,0.0,23.0,40873.0,KNOB POINT,1878.0,False,old growth (TAP); stream,31.0
1,OPENING_ID 1793704,1793704,579688,2024-04-23,2024,3.3,Alberni Valley area,3.26,3.26,0.0,0.0,225.0,48106.0,KNOB POINT,2264.0,True,priority-deferral; old growth (TAP),26.1
1,OPENING_ID 1793570,1793570,579533,2024-05-11,2024,3.1,Alberni Valley area,2.99,3.0,0.0,0.0,0.0,47691.0,KNOB POINT,2069.0,True,priority-deferral; old growth (TAP); stream,26.0
1,OPENING_ID 1804557,1804557,590707,2025-05-09,2025,7.4,Alberni Valley area,0.0,7.23,0.0,0.0,0.0,52674.0,KNOB POINT,833.0,False,old growth (TAP); stream,23.7
1,OPENING_ID 1770896,1770896,548289,2021-11-02,2021,7.9,Somass River,0.0,7.21,0.0,0.0,92.0,64456.0,KNOB POINT,1518.0,False,old growth (TAP); stream,23.6
1,OPENING_ID 1793227,1793227,579178,2021-06-21,2021,4.1,China Creek,2.63,2.63,0.0,0.0,0.0,36934.0,NITINAT LAKE,2185.0,False,priority-deferral; old growth (TAP); stream,23.0
1,OPENING_ID 1790251,1790251,576418,2023-09-15,2023,3.5,Nahmint River,2.04,3.49,0.0,0.0,0.0,56148.0,KNOB POINT,2395.0,True,priority-deferral; old growth (TAP); stream,22.6
1,OPENING_ID 1799571,1799571,586136,2024-05-16,2024,2.5,Alberni Valley area,2.38,2.38,0.0,0.0,0.0,39962.0,KNOB POINT,5902.0,True,priority-deferral; old growth (TAP); stream,21.0
1,VCCB_SYSID 84931,,84931,2024-07-23,2024,2.3,Alberni Valley area,2.34,2.34,0.0,0.0,0.0,39702.0,KNOB POINT,3105.0,True,priority-deferral; old growth (TAP); stream,20.7
1,OPENING_ID 1781785,1781785,567391,2022-11-04,2022,2.8,Alberni Valley area,1.47,2.81,0.0,0.0,7.0,52008.0,KNOB POINT,55.0,True,priority-deferral; old growth (TAP); stream; fish record,19.8
1,OPENING_ID 1770896,1770896,548288,2021-11-02,2021,5.8,Somass River,0.0,5.84,0.0,0.0,1.0,64416.0,KNOB POINT,1852.0,False,old growth (TAP); stream,19.5
1,OPENING_ID 1793704,1793704,579682,2024-04-23,2024,2.9,Alberni Valley area,2.27,2.27,0.0,0.0,115.0,48810.0,KNOB POINT,834.0,True,priority-deferral; old growth (TAP),18.1
1,VCCB_SYSID 84079,,84079,2024-04-17,2024,4.8,Alberni Valley area,1.98,1.98,0.0,0.0,10.0,39953.0,KNOB POINT,2602.0,True,priority-deferral; old growth (TAP); stream,17.9
1,OPENING_ID 1794791,1794791,580864,2024-04-17,2024,2.0,Alberni Valley area,1.96,1.99,0.0,0.0,16.0,47449.0,KNOB POINT,2151.0,True,priority-deferral; old growth (TAP); stream,17.8
