block_name,fom_id,status,comment_open,comment_closed,comment_open_now,planned_date,create_date,planned_area_ha,watershed,oldgrowth_overlap_ha,ancient_overlap_ha,deferral_overlap_ha,ogma_overlap_ha,nearest_rec_m,nearest_fish_m,why_matters,priority_score
ELK058,2002,Comment closed,2024-11-27,2024-12-27,no,2025-01-01,2024-11-25,57.9,Campbell River area,55.23,30.33,30.33,0.11,3035,2894,overlaps ancient old growth (over 400 yr); in a priority-deferral area; overlaps a protected old-growth area,234.7
ELK057,2002,Comment closed,2024-11-27,2024-12-27,no,2025-01-01,2024-11-25,30.1,Campbell River area,26.05,0.0,0.0,0.0,3984,2319,overlaps mapped old growth,39.1
BLK001H,2353,Comment closed,2025-05-28,2025-06-27,no,2025-07-15,2025-05-26,27.8,Campbell River area,19.13,1.46,1.46,0.0,2696,2235,overlaps ancient old growth (over 400 yr); in a priority-deferral area,36.0
BLK251,1997,Comment closed,2024-11-27,2024-12-27,no,2025-01-01,2024-11-25,24.5,Campbell River area,3.97,0.0,3.97,0.0,397,298,overlaps mapped old growth; in a priority-deferral area; near a fish record; near a recreation site,26.9
ELK056,2002,Comment closed,2024-11-27,2024-12-27,no,2025-01-01,2024-11-25,16.5,Campbell River area,14.92,0.0,0.0,0.0,3092,1701,overlaps mapped old growth,22.4
ELK27,2002,Comment closed,2024-11-27,2024-12-27,no,2025-01-01,2024-11-25,13.5,Campbell River area,13.52,0.0,0.0,0.0,4284,1373,overlaps mapped old growth,20.3
BLK004,2378,Comment closed,2025-06-11,2025-07-11,no,2025-07-15,2025-06-06,18.5,Campbell River area,12.43,0.0,0.51,0.0,3722,893,overlaps mapped old growth; in a priority-deferral area,19.7
K003C49J,2881,Comment closed,2026-03-02,2026-04-02,no,2026-04-01,2026-04-09,40.9,Campbell River,0.82,0.82,0.82,0.0,142,165,overlaps ancient old growth (over 400 yr); in a priority-deferral area; near a fish record; near a recreation site,18.3
BLK001,2353,Comment closed,2025-05-28,2025-06-27,no,2025-07-15,2025-05-26,14.9,Campbell River area,12.09,0.0,0.0,0.0,3063,1058,overlaps mapped old growth,18.1
ELK183,1998,Comment closed,2024-11-27,2024-12-27,no,2025-01-01,2024-11-25,47.8,Campbell River area,2.47,0.0,2.26,0.39,1711,0,overlaps mapped old growth; in a priority-deferral area; overlaps a protected old-growth area; near a fish record,16.8
ELK183,2749,Comment closed,2026-01-28,2026-02-27,no,2026-03-15,2026-01-21,47.8,Campbell River area,2.47,0.0,2.26,0.39,1711,0,overlaps mapped old growth; in a priority-deferral area; overlaps a protected old-growth area; near a fish record,16.8
BLK004H,2353,Comment closed,2025-05-28,2025-06-27,no,2025-07-15,2025-05-26,10.0,Campbell River area,9.85,0.0,0.0,0.0,1733,1803,overlaps mapped old growth,14.8
STOW234,2502,Comment closed,2025-08-20,2025-09-19,no,2025-11-15,2025-12-04,26.8,Salmon River,9.53,0.0,0.0,0.0,14549,2260,overlaps mapped old growth,14.3
SAso32A,1223,Comment closed,2024-04-03,2024-05-03,no,2025-04-01,2024-05-07,85.6,Mohun Creek,0.0,0.0,0.0,0.0,178,39,near a fish record; near a recreation site,13.0
SAno5D6,1223,Comment closed,2024-04-03,2024-05-03,no,2024-05-06,2024-05-07,24.7,Campbell River area,0.0,0.0,0.0,0.0,373,110,near a fish record; near a recreation site,13.0
SAno23S,1223,Comment closed,2024-04-03,2024-05-03,no,2027-01-15,2024-05-07,5.3,Campbell River area,0.0,0.0,0.0,0.0,241,83,near a fish record; near a recreation site,13.0
SAno5P1,1223,Comment closed,2024-04-03,2024-05-03,no,2026-08-31,2024-05-07,12.4,Campbell River area,0.0,0.0,0.0,0.0,118,241,near a fish record; near a recreation site,13.0
SAno5QH,1223,Comment closed,2024-04-03,2024-05-03,no,2028-06-13,2024-05-07,16.9,Campbell River area,0.0,0.0,0.0,0.0,341,195,near a fish record; near a recreation site,13.0
SAno50H,1223,Comment closed,2024-04-03,2024-05-03,no,2025-02-03,2024-05-07,41.4,Mohun Creek,0.0,0.0,0.0,0.0,310,94,near a fish record; near a recreation site,13.0
BLK132,2380,Comment closed,2025-06-11,2025-07-11,no,2025-07-15,2025-06-06,30.6,Campbell River area,0.0,0.0,2.25,0.1,6327,75,in a priority-deferral area; overlaps a protected old-growth area; near a fish record,12.7
BLK252,1446,Comment closed,2024-04-25,2024-05-25,no,2025-01-01,2024-08-27,31.5,Campbell River area,1.26,0.0,1.24,0.0,506,90,overlaps mapped old growth; in a priority-deferral area; near a fish record,12.4
BLK252,1997,Comment closed,2024-11-27,2024-12-27,no,2025-01-01,2024-11-25,44.5,Campbell River area,1.26,0.0,1.24,0.0,506,90,overlaps mapped old growth; in a priority-deferral area; near a fish record,12.4
BLK006H,2353,Comment closed,2025-05-28,2025-06-27,no,2025-07-15,2025-05-26,12.0,Campbell River area,8.22,0.0,0.0,0.0,3605,2037,overlaps mapped old growth,12.3
BLK005H,2353,Comment closed,2025-05-28,2025-06-27,no,2025-07-15,2025-05-26,8.1,Campbell River area,8.08,0.0,0.0,0.0,1587,1599,overlaps mapped old growth,12.1
SAno5F7,1223,Comment closed,2024-04-03,2024-05-03,no,2027-09-15,2024-05-07,57.2,Mohun Creek,0.0,0.0,1.47,0.0,2216,120,in a priority-deferral area; near a fish record,10.9
SAsw5LU,2131,Comment closed,2025-03-13,2025-04-13,no,2028-04-01,2025-04-16,78.9,Campbell River,0.0,0.0,1.2,0.0,1544,34,in a priority-deferral area; near a fish record,10.4
K002C4HJ,1223,Comment closed,2024-04-03,2024-05-03,no,2024-04-01,2024-05-07,65.8,Salmon River,2.53,0.0,2.43,0.0,4612,1376,overlaps mapped old growth; in a priority-deferral area,8.7
BLK131,2380,Comment closed,2025-06-11,2025-07-11,no,2025-07-15,2025-06-06,39.9,Campbell River area,0.33,0.0,0.0,0.0,3775,0,overlaps mapped old growth; near a fish record,8.5
BLK163B,1441,Comment closed,2024-04-25,2024-05-25,no,2025-01-01,2024-08-27,4.1,Campbell River area,0.14,0.0,0.0,0.0,5489,199,overlaps mapped old growth; near a fish record,8.2
BLK008H,2353,Comment closed,2025-05-28,2025-06-27,no,2025-07-15,2025-05-26,5.4,Campbell River area,5.38,0.0,0.0,0.0,3856,306,overlaps mapped old growth,8.1
BLK163I,1441,Comment closed,2024-04-25,2024-05-25,no,2025-01-01,2024-08-27,7.8,Campbell River area,0.08,0.0,0.0,0.0,6648,255,overlaps mapped old growth; near a fish record,8.1
SAY018,3007,Comment closed,2026-03-18,2026-04-17,no,2026-04-15,2026-03-12,70.0,Campbell River,0.0,0.0,0.0,0.0,2203,261,near a fish record,8.0
SAsw5R7,2881,Comment closed,2026-03-02,2026-04-02,no,2030-04-01,2026-04-09,18.3,Salmon River,0.0,0.0,0.0,0.0,5344,7,near a fish record,8.0
SAsw47Q,1223,Comment closed,2024-04-03,2024-05-03,no,2026-04-01,2024-05-07,36.0,Campbell River,0.0,0.0,0.0,0.0,1146,1,near a fish record,8.0
K002C245,1223,Comment closed,2024-04-03,2024-05-03,no,2024-04-01,2024-05-07,32.2,Campbell River,0.0,0.0,0.0,0.0,2400,93,near a fish record,8.0
SAso5MJ,2131,Comment closed,2025-03-13,2025-04-13,no,2029-04-01,2025-04-16,16.7,Campbell River,0.0,0.0,0.0,0.0,650,78,near a fish record,8.0
SAsw5NS,2131,Comment closed,2025-03-13,2025-04-13,no,2028-04-01,2025-04-16,17.9,Campbell River,0.0,0.0,0.0,0.0,1056,0,near a fish record,8.0
SAso5N6,1223,Comment closed,2024-04-03,2024-05-03,no,2027-04-01,2024-05-07,32.8,Mohun Creek,0.0,0.0,0.0,0.0,844,210,near a fish record,8.0
K003C4HB,1223,Comment closed,2024-04-03,2024-05-03,no,2026-04-01,2024-05-07,12.4,Campbell River,0.0,0.0,0.0,0.0,1267,96,near a fish record,8.0
SAso5QX,2881,Comment closed,2026-03-02,2026-04-02,no,2030-04-01,2026-04-09,23.6,Mohun Creek,0.0,0.0,0.0,0.0,2160,223,near a fish record,8.0
SAso5J6,1223,Comment closed,2024-04-03,2024-05-03,no,2025-04-01,2024-05-07,6.4,Mohun Creek,0.0,0.0,0.0,0.0,6538,63,near a fish record,8.0
SAso5JE,1223,Comment closed,2024-04-03,2024-05-03,no,2025-04-01,2024-05-07,17.3,Mohun Creek,0.0,0.0,0.0,0.0,6734,268,near a fish record,8.0
SAsw5L8,1223,Comment closed,2024-04-03,2024-05-03,no,2027-04-01,2024-05-07,38.1,Salmon River,0.0,0.0,0.0,0.0,4709,13,near a fish record,8.0
SAsw5R5,2881,Comment closed,2026-03-02,2026-04-02,no,2030-04-01,2026-04-09,54.7,Salmon River,0.0,0.0,0.0,0.0,5961,284,near a fish record,8.0
K013C4GE,2881,Comment closed,2026-03-02,2026-04-02,no,2027-04-01,2026-04-09,13.6,Mohun Creek,0.0,0.0,0.0,0.0,2844,186,near a fish record,8.0
SAno5F1,1223,Comment closed,2024-04-03,2024-05-03,no,2027-09-15,2024-05-07,22.1,Mohun Creek,0.0,0.0,0.0,0.0,1728,73,near a fish record,8.0
K013C4LW,2881,Comment closed,2026-03-02,2026-04-02,no,2026-04-01,2026-04-09,29.1,Mohun Creek,0.0,0.0,0.0,0.0,921,242,near a fish record,8.0
K013C3XW,2881,Comment closed,2026-03-02,2026-04-02,no,2030-04-01,2026-04-09,34.0,Mohun Creek,0.0,0.0,0.0,0.0,2163,196,near a fish record,8.0
