tier,identifier,opening_id,vccb_sysid,harvest_start_date,harvest_start_year,block_area_ha,watershed,deferral_overlap_ha,oldgrowth_overlap_ha,ancient_overlap_ha,ogma_overlap_ha,nearest_stream_m,nearest_rec_site_m,nearest_rec_site,nearest_fish_record_m,after_deferral_recommendation,risk_flags,priority_score
1,OPENING_ID 1778311,1778311,565566,2022-07-01,2022,25.6,Campbell River area,23.76,25.52,0.0,0.0,0.0,179233.0,KNOB POINT,2329.0,True,priority-deferral; old growth (TAP); stream,197.4
1,OPENING_ID 1764672,1764672,544857,2021-06-01,2021,43.1,Salmon River,0.0,33.88,0.0,0.0,0.0,177465.0,KNOB POINT,339.0,False,old growth (TAP); stream,103.6
1,OPENING_ID 1753558,1753558,535543,2021-04-01,2021,33.4,Salmon River,1.68,30.39,0.0,0.0,0.0,179140.0,KNOB POINT,252.0,False,priority-deferral; old growth (TAP); stream,101.6
1,OPENING_ID 1751575,1751575,534570,2021-03-01,2021,27.8,Salmon River,0.25,27.6,0.0,0.0,0.0,164738.0,KNOB POINT,17.0,False,priority-deferral; old growth (TAP); stream; fish record,88.0
1,OPENING_ID 1781432,1781432,567253,2022-09-19,2022,29.3,Campbell River area,0.0,26.88,0.0,0.0,0.0,169042.0,KNOB POINT,1515.0,False,old growth (TAP); stream,82.6
1,OPENING_ID 1767886,1767886,546423,2020-09-01,2020,20.4,Salmon River,0.0,20.21,0.0,0.0,0.0,184502.0,KNOB POINT,6146.0,False,old growth (TAP); stream,62.6
1,VCCB_SYSID 84301,,84301,2024-05-10,2024,17.2,Salmon River,0.0,16.72,0.0,0.0,0.0,183992.0,KNOB POINT,5223.0,False,old growth (TAP); stream,52.1
1,OPENING_ID 1779903,1779903,566501,2021-10-18,2021,19.7,Salmon River,0.0,16.86,0.0,0.0,105.0,176996.0,KNOB POINT,1093.0,False,old growth (TAP),50.6
1,OPENING_ID 1753574,1753574,535560,2020-07-01,2020,55.0,Salmon River,0.0,12.94,0.0,0.0,0.0,185054.0,KNOB POINT,4780.0,False,old growth (TAP); stream,40.8
1,VCCB_SYSID 81905,,81905,2023-05-17,2023,12.6,Campbell River area,0.0,12.6,0.0,0.0,0.0,169910.0,KNOB POINT,1388.0,False,old growth (TAP); stream,39.8
1,OPENING_ID 1792027,1792027,577974,2023-08-12,2023,11.3,Salmon River,0.0,11.07,0.0,0.0,27.0,182843.0,KNOB POINT,5233.0,False,old growth (TAP); stream,35.2
1,OPENING_ID 1790819,1790819,576894,2024-04-12,2024,6.3,Salmon River,3.82,4.11,0.0,0.0,91.0,183119.0,KNOB POINT,3613.0,True,priority-deferral; old growth (TAP); stream,33.4
1,OPENING_ID 1788715,1788715,574962,2023-07-01,2023,9.9,Salmon River,0.0,9.92,0.0,0.0,19.0,182264.0,KNOB POINT,4496.0,False,old growth (TAP); stream,31.8
1,OPENING_ID 1789591,1789591,575699,2024-04-23,2024,11.6,Salmon River,0.0,10.36,0.0,0.0,457.0,163425.0,KNOB POINT,640.0,False,old growth (TAP),31.1
1,OPENING_ID 1789137,1789137,575300,2024-04-01,2024,10.4,Salmon River,0.0,10.31,0.0,0.0,240.0,171918.0,KNOB POINT,934.0,False,old growth (TAP),30.9
1,OPENING_ID 1763700,1763700,544575,2022-04-01,2022,11.8,Salmon River,0.0,9.41,0.0,0.0,5.0,160729.0,KNOB POINT,1113.0,False,old growth (TAP); stream,30.2
1,OPENING_ID 1753558,1753558,535547,2021-04-01,2021,9.4,Salmon River,0.0,9.22,0.0,0.0,0.0,180625.0,KNOB POINT,331.0,False,old growth (TAP); stream,29.7
