block_name,fom_id,status,comment_open,comment_closed,comment_open_now,planned_date,create_date,planned_area_ha,watershed,oldgrowth_overlap_ha,ancient_overlap_ha,deferral_overlap_ha,ogma_overlap_ha,nearest_rec_m,nearest_fish_m,why_matters,priority_score
HShb5Q9,1223,Comment closed,2024-04-03,2024-05-03,no,2028-04-01,2024-05-07,46.4,Heber River,40.24,40.24,40.24,0.0,15686,671,overlaps ancient old growth (over 400 yr); in a priority-deferral area,261.6
HShb5Q7,1223,Comment closed,2024-04-03,2024-05-03,no,2028-04-01,2024-05-07,41.5,Heber River,41.13,38.58,38.58,0.0,15807,829,overlaps ancient old growth (over 400 yr); in a priority-deferral area,254.6
E100C3X4,1223,Comment closed,2024-04-03,2024-05-03,no,2028-04-01,2024-05-07,40.6,Gold River,40.52,21.36,39.07,0.0,10865,86,overlaps ancient old growth (over 400 yr); in a priority-deferral area; near a fish record,211.0
F081C451,2131,Comment closed,2025-03-13,2025-04-13,no,2027-04-01,2025-04-16,42.0,Heber River,27.17,16.94,16.94,0.0,12335,585,overlaps ancient old growth (over 400 yr); in a priority-deferral area,125.5
E100C3PJ,1223,Comment closed,2024-04-03,2024-05-03,no,2028-04-01,2024-05-07,24.5,Gold River,24.46,11.77,11.77,0.0,10055,61,overlaps ancient old growth (over 400 yr); in a priority-deferral area; near a fish record,103.5
HB-2,2123,Comment closed,2025-01-29,2025-02-28,no,2025-04-01,2025-03-03,12.8,Gold River,12.8,11.34,11.34,0.0,15572,1451,overlaps ancient old growth (over 400 yr); in a priority-deferral area,75.9
CKsb435,1424,Comment closed,2024-05-15,2024-06-14,no,2024-06-15,2024-06-18,20.3,Gold River area,19.42,0.0,15.48,0.0,16998,1346,overlaps mapped old growth; in a priority-deferral area,60.1
E100C4B8,1223,Comment closed,2024-04-03,2024-05-03,no,2028-04-01,2024-05-07,12.0,Gold River,11.87,2.81,9.91,0.0,9221,107,overlaps ancient old growth (over 400 yr); in a priority-deferral area; near a fish record,54.1
E070C4GV,1223,Comment closed,2024-04-03,2024-05-03,no,2024-10-01,2024-05-07,36.6,Gold River area,35.99,0.0,0.0,0.0,10184,2694,overlaps mapped old growth,54.0
HShb4N6,2131,Comment closed,2025-03-13,2025-04-13,no,2027-04-01,2025-04-16,32.8,Heber River,22.9,0.0,0.0,0.0,11674,1131,overlaps mapped old growth,34.3
E100C4EM,1223,Comment closed,2024-04-03,2024-05-03,no,2028-04-01,2024-05-07,6.6,Gold River,6.18,0.17,6.18,0.0,10524,261,overlaps ancient old growth (over 400 yr); in a priority-deferral area; near a fish record,30.1
BC-4,1289,Comment closed,2024-04-04,2024-05-04,no,2024-04-15,2024-05-27,7.7,Gold River area,7.74,0.0,7.74,0.0,8229,2292,overlaps mapped old growth; in a priority-deferral area,27.1
HB-1,2123,Comment closed,2025-01-29,2025-02-28,no,2025-04-01,2025-03-03,12.1,Gold River,11.71,1.49,1.49,0.0,15325,977,overlaps ancient old growth (over 400 yr); in a priority-deferral area,25.0
