tier,identifier,opening_id,vccb_sysid,harvest_start_date,harvest_start_year,block_area_ha,watershed,deferral_overlap_ha,oldgrowth_overlap_ha,ancient_overlap_ha,ogma_overlap_ha,nearest_stream_m,nearest_rec_site_m,nearest_rec_site,nearest_fish_record_m,after_deferral_recommendation,risk_flags,priority_score
1,OPENING_ID 1802380,1802380,588436,2025-04-16,2025,39.1,Gold River,31.71,39.01,21.27,0.0,0.0,159070.0,KNOB POINT,299.0,True,priority-deferral; old growth (TAP); stream,277.5
1,OPENING_ID 1787267,1787267,571357,2023-11-01,2023,30.3,Gold River area,26.55,28.33,0.0,0.0,0.0,146788.0,KNOB POINT,643.0,True,priority-deferral; old growth (TAP); stream,219.8
1,OPENING_ID 1768195,1768195,546606,2021-06-30,2021,29.9,Muchalat River,6.64,29.34,0.0,0.0,0.0,168222.0,KNOB POINT,709.0,False,priority-deferral; old growth (TAP); stream,123.2
1,OPENING_ID 1805742,1805742,591369,2026-01-08,2026,11.4,Gold River area,11.34,11.34,0.0,0.0,0.0,146655.0,KNOB POINT,1613.0,True,priority-deferral; old growth (TAP); stream,92.7
1,OPENING_ID 1771822,1771822,548985,2022-06-01,2022,28.1,Gold River area,0.0,28.06,0.0,0.0,0.0,150763.0,KNOB POINT,2688.0,False,old growth (TAP); stream,86.2
1,OPENING_ID 1789466,1789466,575543,2024-02-06,2024,27.5,Muchalat River,0.0,27.5,0.0,0.0,31.0,160357.0,KNOB POINT,1640.0,False,old growth (TAP); stream,84.5
1,OPENING_ID 1768208,1768208,546622,2021-06-30,2021,19.4,Muchalat River,4.21,19.3,0.0,0.0,0.0,167763.0,KNOB POINT,815.0,False,priority-deferral; old growth (TAP); stream,80.9
1,OPENING_ID 1778185,1778185,565498,2023-03-01,2023,26.5,Muchalat River,0.0,26.25,0.0,0.0,0.0,160605.0,KNOB POINT,2466.0,False,old growth (TAP); stream,80.7
1,OPENING_ID 1790839,1790839,576909,2023-10-13,2023,23.7,Gold River area,2.35,14.07,0.0,23.69,10.0,171357.0,KNOB POINT,3772.0,True,priority-deferral; old growth (TAP); legal OGMA; stream,79.6
1,OPENING_ID 1787110,1787110,571142,2023-11-01,2023,9.3,Gold River area,9.25,9.25,0.0,0.0,0.0,149017.0,KNOB POINT,0.0,True,priority-deferral; old growth (TAP); stream; fish record,78.0
1,OPENING_ID 1757507,1757507,538484,2021-10-01,2021,9.2,Gold River,9.05,9.05,9.05,0.0,0.0,163729.0,KNOB POINT,328.0,False,priority-deferral; old growth (TAP); stream,74.4
1,OPENING_ID 1777418,1777418,565009,2022-05-01,2022,23.9,Muchalat River,0.0,23.9,0.0,0.0,7.0,162470.0,KNOB POINT,659.0,False,old growth (TAP); stream,73.7
1,OPENING_ID 1780973,1780973,566986,2023-10-01,2023,21.7,Gold River area,0.0,21.66,0.0,0.0,8.0,156326.0,KNOB POINT,1232.0,False,old growth (TAP); stream,67.0
1,OPENING_ID 1761672,1761672,542181,2021-10-01,2021,7.9,Heber River,7.83,7.83,0.0,0.0,82.0,144894.0,KNOB POINT,728.0,False,priority-deferral; old growth (TAP); stream,64.6
1,OPENING_ID 1802376,1802376,588430,2025-02-18,2025,10.9,Gold River,5.43,10.28,5.43,0.0,26.0,161303.0,KNOB POINT,128.0,True,priority-deferral; old growth (TAP); stream; fish record,62.0
1,OPENING_ID 1791025,1791025,577115,2023-05-01,2023,20.0,Muchalat River,0.0,19.83,0.0,0.0,12.0,161254.0,KNOB POINT,2388.0,False,old growth (TAP); stream,61.5
