block_name,fom_id,status,comment_open,comment_closed,comment_open_now,planned_date,create_date,planned_area_ha,watershed,oldgrowth_overlap_ha,ancient_overlap_ha,deferral_overlap_ha,ogma_overlap_ha,nearest_rec_m,nearest_fish_m,why_matters,priority_score
OSJosj5BR,1220,Comment closed,2024-04-03,2024-05-06,no,2025-07-03,2024-05-07,39.5,Lake Cowichan area,21.13,0.0,0.0,0.0,7825,1213,overlaps mapped old growth,31.7
8011-2,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,6.6,Lake Cowichan area,2.41,0.0,2.4,0.0,6479,963,overlaps mapped old growth; in a priority-deferral area,8.4
8249,2416,Comment closed,2025-06-19,2025-07-19,no,2025-09-01,2025-10-23,3.3,Lake Cowichan area,0.0,0.0,0.0,0.0,3031,108,near a fish record,8.0
8171,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,5.5,Lake Cowichan area,0.0,0.0,0.0,0.0,1674,95,near a fish record,8.0
MB26,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,9.2,Lake Cowichan area,0.0,0.0,0.0,0.0,14534,161,near a fish record,8.0
Blk 21,3075,Comment closed,2026-05-13,2026-06-12,no,2026-04-15,2026-05-11,17.2,Cowichan River,0.0,0.0,0.0,0.0,2880,197,near a fish record,8.0
Blk 20,3075,Comment closed,2026-05-13,2026-06-12,no,2026-04-15,2026-05-11,13.9,Cowichan River,0.0,0.0,0.0,0.0,2789,67,near a fish record,8.0
Blk 24,3075,Comment closed,2026-05-13,2026-06-12,no,2026-04-15,2026-05-11,17.2,Cowichan River,0.0,0.0,0.0,0.0,3228,286,near a fish record,8.0
Blk 19,3075,Comment closed,2026-05-13,2026-06-12,no,2026-04-15,2026-05-11,8.6,Cowichan River,0.0,0.0,0.0,0.0,4586,9,near a fish record,8.0
8013,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,4.3,Lake Cowichan area,4.25,0.0,0.0,0.0,7179,1432,overlaps mapped old growth,6.4
8392,3124,Comment closed,2026-05-08,2026-06-08,no,2026-06-01,2026-04-30,3.3,Lake Cowichan area,3.34,0.0,0.0,0.11,7742,823,overlaps mapped old growth; overlaps a protected old-growth area,5.2
7248,3124,Comment closed,2026-05-08,2026-06-08,no,2026-06-01,2026-04-30,9.1,Lake Cowichan area,1.25,0.0,1.25,0.0,12383,5117,overlaps mapped old growth; in a priority-deferral area,4.4
8027,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,7.0,Lake Cowichan area,0.0,0.0,0.0,0.0,7808,1428,,0.0
8011-1,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,0.6,Lake Cowichan area,0.0,0.0,0.0,0.0,7070,1570,,0.0
8267,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,16.8,Lake Cowichan area,0.0,0.0,0.0,0.0,4067,812,,0.0
8173,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,25.8,Lake Cowichan area,0.0,0.0,0.0,0.0,1354,455,,0.0
8272,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,15.0,Lake Cowichan area,0.0,0.0,0.0,0.0,3946,642,,0.0
7522-2,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,7.0,Lake Cowichan area,0.0,0.0,0.0,0.0,13732,1608,,0.0
7700,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,38.1,Lake Cowichan area,0.0,0.0,0.0,0.0,11676,771,,0.0
7710,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,15.8,Lake Cowichan area,0.0,0.0,0.0,0.0,11579,413,,0.0
MB08,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,9.6,Lake Cowichan area,0.0,0.0,0.0,0.0,11097,2741,,0.0
MB28,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,9.4,Lake Cowichan area,0.0,0.0,0.0,0.0,14309,494,,0.0
MB21,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,9.4,Lake Cowichan area,0.0,0.0,0.0,0.0,14305,1011,,0.0
MB10A,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,8.8,Lake Cowichan area,0.0,0.0,0.0,0.0,13330,969,,0.0
MB12,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,7.5,Lake Cowichan area,0.0,0.0,0.0,0.0,12873,1137,,0.0
MB14,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,15.2,Lake Cowichan area,0.0,0.0,0.0,0.0,11740,1944,,0.0
MB05,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,10.1,Lake Cowichan area,0.0,0.0,0.0,0.0,12824,811,,0.0
7577-2,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,13.3,Lake Cowichan area,0.0,0.0,0.0,0.0,14420,614,,0.0
7577-1,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,7.9,Lake Cowichan area,0.0,0.0,0.0,0.0,14124,871,,0.0
Blk 18,3075,Comment closed,2026-05-13,2026-06-12,no,2026-04-15,2026-05-11,2.4,Bear Creek,0.0,0.0,0.0,0.0,4727,386,,0.0
17,2551,Comment closed,2025-11-18,2025-12-18,no,2025-11-06,2026-01-28,4.2,Bear Creek,0.0,0.0,0.0,0.0,4473,333,,0.0
Blk 16,3075,Comment closed,2026-05-13,2026-06-12,no,2026-04-15,2026-05-11,7.8,Cowichan River,0.0,0.0,0.0,0.0,3274,624,,0.0
Blk 23,3075,Comment closed,2026-05-13,2026-06-12,no,2026-04-15,2026-05-11,10.4,Cowichan River,0.0,0.0,0.0,0.0,3419,790,,0.0
Blk 28,3075,Comment closed,2026-05-13,2026-06-12,no,2026-04-15,2026-05-11,16.2,Cowichan River,0.0,0.0,0.0,0.0,4299,432,,0.0
B081C437,1220,Comment closed,2024-04-03,2024-05-06,no,2028-04-06,2024-05-07,39.3,Lake Cowichan area,0.0,0.0,0.0,0.0,8397,1553,,0.0
CHmo5KB,1220,Comment closed,2024-04-03,2024-05-06,no,2025-05-08,2024-05-07,46.4,Lake Cowichan area,0.0,0.0,0.0,0.0,8075,1075,,0.0
B081C32K,1220,Comment closed,2024-04-03,2024-05-06,no,2024-04-02,2024-05-07,38.4,Lake Cowichan area,0.0,0.0,0.0,0.0,7420,345,,0.0
