tier,identifier,opening_id,vccb_sysid,harvest_start_date,harvest_start_year,block_area_ha,watershed,deferral_overlap_ha,oldgrowth_overlap_ha,ancient_overlap_ha,ogma_overlap_ha,nearest_stream_m,nearest_rec_site_m,nearest_rec_site,nearest_fish_record_m,after_deferral_recommendation,risk_flags,priority_score
1,OPENING_ID 1770235,1770235,547695,2020-05-21,2020,16.7,Lake Cowichan area,9.06,9.06,0.0,0.0,0.0,5457.0,FAIRY LAKE,2137.0,False,priority-deferral; old growth (TAP); stream,74.5
1,OPENING_ID 1744357,1744357,528406,2020-05-14,2020,14.4,Lake Cowichan area,6.33,9.1,0.0,0.0,0.0,5273.0,Avatar Grove Hiking Trails,3642.0,False,priority-deferral; old growth (TAP); stream,60.9
1,OPENING_ID 1770235,1770235,547696,2020-05-21,2020,3.6,Lake Cowichan area,2.92,2.92,0.0,0.0,10.0,5826.0,FAIRY LAKE,1966.0,False,priority-deferral; old growth (TAP); stream,25.3
1,OPENING_ID 1769011,1769011,546976,2021-05-13,2021,5.9,Lake Cowichan area,1.12,5.86,0.0,0.0,218.0,4012.0,FAIRY LAKE,5605.0,False,priority-deferral; old growth (TAP),23.2
1,OPENING_ID 1744357,1744357,528405,2020-05-14,2020,1.5,Lake Cowichan area,1.2,1.5,0.0,0.0,173.0,5208.0,Avatar Grove Hiking Trails,4191.0,False,priority-deferral; old growth (TAP),10.5
1,OPENING_ID 1770573,1770573,547912,2022-06-24,2022,14.2,Lake Cowichan area,0.0,0.87,0.0,0.0,0.0,6974.0,Harris Creek Spruce,1212.0,False,old growth (TAP); stream,4.6
1,OPENING_ID 1725472,1725472,515084,2019-04-25,2019,37.6,Lake Cowichan area,0.0,0.0,0.0,0.16,0.0,3923.0,Harris Creek Spruce,0.0,False,legal OGMA; stream; fish record,4.2
1,OPENING_ID 1681334,1681334,479910,2016-10-25,2016,26.3,Lake Cowichan area,0.0,0.0,0.0,0.11,8.0,15538.0,BALD MOUNTAIN,155.0,False,legal OGMA; stream; fish record,4.1
1,OPENING_ID 1653496,1653496,461499,2015-03-02,2015,35.2,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,7191.0,Harris Creek Spruce,7.0,False,stream; fish record,4.0
1,OPENING_ID 1725519,1725519,515118,2019-02-26,2019,26.8,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,4848.0,LIZARD LAKE,59.0,False,stream; fish record,4.0
1,VCCB_SYSID 75226,,75226,2020-01-01,2020,4.2,Lake Cowichan area,0.0,0.0,0.0,0.0,24.0,6033.0,Harris Creek Spruce,180.0,False,stream; fish record,4.0
1,OPENING_ID 1720537,1720537,512773,2019-01-30,2019,8.1,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,2669.0,Harris Creek Spruce,6.0,False,stream; fish record,4.0
1,OPENING_ID 1770570,1770570,547908,2023-03-16,2023,12.2,Lake Cowichan area,0.0,0.0,0.0,0.0,5.0,637.0,Harris Creek Spruce,74.0,False,stream; fish record,4.0
1,OPENING_ID 1770572,1770572,547909,2022-06-24,2022,14.8,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,1860.0,Harris Creek Spruce,106.0,False,stream; fish record,4.0
1,VCCB_SYSID 77178,,77178,2021-04-18,2021,17.1,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,3167.0,Harris Creek Spruce,177.0,False,stream; fish record,4.0
1,VCCB_SYSID 78941,,78941,2022-01-15,2022,33.2,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,3910.0,Harris Creek Spruce,0.0,False,stream; fish record,4.0
1,VCCB_SYSID 83346,,83346,2024-02-06,2024,7.2,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,3740.0,Harris Creek Spruce,118.0,False,stream; fish record,4.0
1,VCCB_SYSID 79119,,79119,2022-02-16,2022,5.1,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,4794.0,Harris Creek Spruce,23.0,False,stream; fish record,4.0
1,VCCB_SYSID 79090,,79090,2022-02-16,2022,3.1,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,4760.0,Harris Creek Spruce,14.0,False,stream; fish record,4.0
1,VCCB_SYSID 84713,,84713,2024-07-06,2024,14.8,Lake Cowichan area,0.0,0.0,0.0,0.0,19.0,12827.0,SAN JUAN RIVER,60.0,False,stream; fish record,4.0
1,VCCB_SYSID 76897,,76897,2021-04-18,2021,3.1,Lake Cowichan area,0.0,0.0,0.0,0.0,17.0,6589.0,Harris Creek Spruce,137.0,False,stream; fish record,4.0
1,VCCB_SYSID 80865,,80865,2022-11-15,2022,42.9,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,9413.0,SAN JUAN RIVER,62.0,False,stream; fish record,4.0
1,VCCB_SYSID 83172,,83172,2023-11-26,2023,20.3,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,9871.0,Harris Creek Spruce,23.0,False,stream; fish record,4.0
1,VCCB_SYSID 84390,,84390,2024-05-20,2024,21.2,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,12978.0,Harris Creek Spruce,83.0,False,stream; fish record,4.0
1,VCCB_SYSID 75106,,75106,2020-01-01,2020,24.3,Cowichan River,0.0,0.0,0.0,0.0,0.0,23997.0,SPRING BEACH,58.0,False,stream; fish record,4.0
1,VCCB_SYSID 76570,,76570,2021-03-26,2021,22.4,Cowichan River,0.0,0.0,0.0,0.0,0.0,23942.0,SPRING BEACH,7.0,False,stream; fish record,4.0
1,VCCB_SYSID 85966,,85966,2024-12-03,2024,26.6,Cowichan River,0.0,0.0,0.0,0.0,0.0,23396.0,SPRING BEACH,55.0,False,stream; fish record,4.0
1,VCCB_SYSID 75223,,75223,2020-01-01,2020,15.2,Cowichan River,0.0,0.0,0.0,0.0,0.0,20660.0,SAN JUAN RIVER,46.0,False,stream; fish record,4.0
1,VCCB_SYSID 76566,,76566,2021-03-26,2021,37.8,Cowichan River,0.0,0.0,0.0,0.0,0.0,21503.0,SAN JUAN RIVER,72.0,False,stream; fish record,4.0
1,VCCB_SYSID 76497,,76497,2021-03-18,2021,44.7,Cowichan River,0.0,0.0,0.0,0.0,0.0,22311.0,SAN JUAN RIVER,171.0,False,stream; fish record,4.0
1,VCCB_SYSID 79808,,79808,2022-05-23,2022,55.8,Cowichan River,0.0,0.0,0.0,0.0,0.0,19685.0,SAN JUAN RIVER,84.0,False,stream; fish record,4.0
1,VCCB_SYSID 80947,,80947,2022-11-24,2022,68.4,Cowichan River,0.0,0.0,0.0,0.0,0.0,19057.0,SAN JUAN RIVER,176.0,False,stream; fish record,4.0
1,VCCB_SYSID 80422,,80422,2022-08-20,2022,50.2,Cowichan River,0.0,0.0,0.0,0.0,0.0,18114.0,SAN JUAN RIVER,196.0,False,stream; fish record,4.0
1,VCCB_SYSID 77557,,77557,2021-05-20,2021,60.9,Cowichan River,0.0,0.0,0.0,0.0,0.0,19527.0,Harris Creek Spruce,0.0,False,stream; fish record,4.0
1,VCCB_SYSID 81620,,81620,2023-05-03,2023,82.2,Lake Cowichan area,0.0,0.0,0.0,0.0,0.0,18208.0,Harris Creek Spruce,18.0,False,stream; fish record,4.0
1,VCCB_SYSID 85969,,85969,2024-12-03,2024,16.6,Cowichan River,0.0,0.0,0.0,0.0,0.0,20869.0,SPRING BEACH,180.0,False,stream; fish record,4.0
1,VCCB_SYSID 79118,,79118,2022-02-16,2022,59.4,Cowichan River,0.0,0.0,0.0,0.0,0.0,28568.0,SAN JUAN RIVER,141.0,False,stream; fish record,4.0
