block_name,fom_id,status,comment_open,comment_closed,comment_open_now,planned_date,create_date,planned_area_ha,watershed,oldgrowth_overlap_ha,ancient_overlap_ha,deferral_overlap_ha,ogma_overlap_ha,nearest_rec_m,nearest_fish_m,why_matters,priority_score
961214,3238,Open for comment,2026-06-24,2026-07-24,yes,2026-08-15,2026-06-23,7.5,Nitinat area,0.0,0.0,0.0,0.0,16717,1244,,0.0
671424,1883,Comment closed,2024-10-09,2024-11-09,no,2024-12-01,2024-11-15,42.5,Nitinat area,42.05,0.0,16.97,0.17,17692,1805,overlaps mapped old growth; in a priority-deferral area; overlaps a protected old-growth area,97.3
671424,2127,Comment closed,2025-01-22,2025-02-22,no,2025-03-30,2025-04-07,42.5,Nitinat area,42.05,0.0,16.97,0.17,17692,1805,overlaps mapped old growth; in a priority-deferral area; overlaps a protected old-growth area,97.3
673413-DT,2270,Comment closed,2025-04-09,2025-05-09,no,2025-05-15,2025-07-12,22.4,Cheewhat River,14.35,0.0,13.39,0.0,13657,1171,overlaps mapped old growth; in a priority-deferral area,48.3
874111,2124,Comment closed,2025-01-22,2025-02-22,no,2025-03-30,2025-05-12,10.6,Little Nitinat River,10.06,0.0,9.64,0.0,2584,98,overlaps mapped old growth; in a priority-deferral area; near a fish record,42.4
673227,2127,Comment closed,2025-01-22,2025-02-22,no,2025-03-30,2025-04-07,4.5,Nitinat area,4.51,4.47,4.47,0.0,16369,957,overlaps ancient old growth (over 400 yr); in a priority-deferral area,29.1
673211-DT1,2336,Comment closed,2025-05-14,2025-06-13,no,2025-10-01,2025-09-04,13.4,Cheewhat River,11.52,0.0,0.0,0.0,14356,137,overlaps mapped old growth; near a fish record,25.3
4632,2173,Comment closed,2025-02-06,2025-03-08,no,2025-06-15,2025-03-24,7.0,Nitinat area,6.52,0.0,6.51,0.0,26912,654,overlaps mapped old growth; in a priority-deferral area,22.8
673227A,2127,Comment closed,2025-01-22,2025-02-22,no,2025-03-30,2025-04-07,3.3,Nitinat area,3.21,3.21,3.21,0.0,16379,1024,overlaps ancient old growth (over 400 yr); in a priority-deferral area,20.9
864324,2854,Comment closed,2025-12-17,2026-01-16,no,2026-04-01,2026-02-10,13.3,Nitinat area,5.92,0.0,5.92,0.0,10258,1516,overlaps mapped old growth; in a priority-deferral area,20.7
671306,2127,Comment closed,2025-01-22,2025-02-22,no,2025-03-30,2025-04-07,3.2,Nitinat area,3.17,3.16,3.16,0.0,17414,1548,overlaps ancient old growth (over 400 yr); in a priority-deferral area,20.6
671308,1613,Comment closed,2024-06-21,2024-07-21,no,2024-05-31,2024-08-01,3.4,Nitinat area,3.33,2.87,2.87,0.0,17861,2300,overlaps ancient old growth (over 400 yr); in a priority-deferral area,19.3
673409-DT,1601,Comment closed,2024-06-21,2024-07-21,no,2024-08-01,2024-08-01,12.6,Cheewhat River,10.94,0.0,0.0,0.0,13248,411,overlaps mapped old growth,16.4
671417A,2127,Comment closed,2025-01-22,2025-02-22,no,2025-03-30,2025-04-07,3.2,Nitinat area,3.16,2.15,2.15,0.0,18418,2580,overlaps ancient old growth (over 400 yr); in a priority-deferral area,15.5
673234,1613,Comment closed,2024-06-21,2024-07-21,no,2024-05-31,2024-08-01,10.2,Cheewhat River,9.89,0.0,0.0,0.0,15195,655,overlaps mapped old growth,14.8
874112,2124,Comment closed,2025-01-22,2025-02-22,no,2025-03-30,2025-05-12,9.3,Little Nitinat River,1.63,0.0,1.63,0.0,2994,96,overlaps mapped old growth; in a priority-deferral area; near a fish record,13.7
864321,1353,Comment closed,2024-05-01,2024-05-31,no,2024-08-01,2024-06-11,3.9,Nitinat area,3.87,0.0,3.87,0.0,12181,329,overlaps mapped old growth; in a priority-deferral area,13.5
863223,2854,Comment closed,2025-12-17,2026-01-16,no,2026-04-01,2026-02-10,12.6,Nitinat area,6.41,0.0,1.43,0.0,16443,779,overlaps mapped old growth; in a priority-deferral area,12.5
6245A,2205,Comment closed,2025-02-26,2025-03-28,no,2025-04-01,2025-02-24,8.4,Nitinat River,0.82,0.0,0.71,0.0,13653,124,overlaps mapped old growth; in a priority-deferral area; near a fish record,10.7
6245A,2175,Comment closed,2025-02-05,2025-03-07,no,2025-04-01,2025-02-03,8.4,Nitinat River,0.82,0.0,0.71,0.0,13653,124,overlaps mapped old growth; in a priority-deferral area; near a fish record,10.7
962110,2854,Comment closed,2025-12-17,2026-01-16,no,2026-04-01,2026-02-10,6.1,Nitinat area,0.65,0.0,0.64,0.0,11305,31,overlaps mapped old growth; in a priority-deferral area; near a fish record,10.3
7104,3124,Comment closed,2026-05-08,2026-06-08,no,2026-06-01,2026-04-30,6.4,Nitinat area,6.4,0.0,0.0,0.31,21103,1281,overlaps mapped old growth; overlaps a protected old-growth area,10.1
864320,1353,Comment closed,2024-05-01,2024-05-31,no,2024-08-01,2024-06-11,0.5,Nitinat area,0.45,0.09,0.45,0.0,12323,231,overlaps ancient old growth (over 400 yr); in a priority-deferral area; near a fish record,9.8
671409-DT,2336,Comment closed,2025-05-14,2025-06-13,no,2025-10-01,2025-09-04,8.7,Nitinat area,6.23,0.0,0.0,0.0,17815,1343,overlaps mapped old growth,9.3
