tier,identifier,opening_id,vccb_sysid,harvest_start_date,harvest_start_year,block_area_ha,watershed,deferral_overlap_ha,oldgrowth_overlap_ha,ancient_overlap_ha,ogma_overlap_ha,nearest_stream_m,nearest_rec_site_m,nearest_rec_site,nearest_fish_record_m,after_deferral_recommendation,risk_flags,priority_score
1,OPENING_ID 1795016,1795016,580980,2022-02-10,2022,41.7,Klanawa River,14.57,37.94,0.0,0.0,0.0,9174.0,KNOB POINT,1912.0,True,priority-deferral; old growth (TAP); stream,188.7
1,OPENING_ID 1790167,1790167,576333,2022-02-23,2022,30.4,East Klanawa River,15.7,30.44,7.41,0.0,0.0,10602.0,KNOB POINT,1197.0,True,priority-deferral; old growth (TAP); stream,171.8
1,OPENING_ID 1765886,1765886,545577,2021-01-28,2021,32.6,Klanawa River,10.63,31.35,0.0,0.0,0.0,17387.0,KNOB POINT,1863.0,False,priority-deferral; old growth (TAP); stream,149.2
1,OPENING_ID 1802570,1802570,588625,2024-07-31,2024,16.8,South Sarita River,16.78,16.78,0.0,0.0,8.0,14436.0,KNOB POINT,1330.0,True,priority-deferral; old growth (TAP); stream,136.3
1,OPENING_ID 1768791,1768791,546898,2021-05-17,2021,30.0,Axe Creek,6.64,29.94,0.0,0.0,5.0,3914.0,Avatar Grove Hiking Trails,488.0,False,priority-deferral; old growth (TAP); stream,125.0
1,OPENING_ID 1776058,1776058,563442,2021-10-08,2021,15.4,Klanawa River,15.21,15.26,0.0,0.0,0.0,14901.0,KNOB POINT,1801.0,False,priority-deferral; old growth (TAP); stream,123.8
1,OPENING_ID 1763277,1763277,544195,2021-04-16,2021,21.8,Sarita River,7.8,21.76,3.16,0.0,32.0,21374.0,KNOB POINT,1758.0,False,priority-deferral; old growth (TAP); stream,106.3
1,OPENING_ID 1770515,1770515,547848,2021-07-08,2021,24.2,Caycuse River,6.74,23.44,0.0,0.0,0.0,13119.0,NITINAT LAKE,1276.0,False,priority-deferral; old growth (TAP); stream,106.0
1,VCCB_SYSID 80028,,80028,2022-06-24,2022,14.5,South Sarita River,9.8,13.05,9.8,0.0,0.0,16620.0,KNOB POINT,1523.0,True,priority-deferral; old growth (TAP); stream,90.1
1,OPENING_ID 1752462,1752462,534995,2020-12-21,2020,17.7,Sarita River,5.84,17.72,0.0,0.0,5.0,19081.0,KNOB POINT,1070.0,False,priority-deferral; old growth (TAP); stream,84.3
