block_name,fom_id,status,comment_open,comment_closed,comment_open_now,planned_date,create_date,planned_area_ha,watershed,watershed_card,oldgrowth_overlap_ha,ancient_overlap_ha,deferral_overlap_ha,ogma_overlap_ha,nearest_rec_m,nearest_fish_m,why_matters,priority_score
SJlo5K7,1220,Comment closed,2024-04-03,2024-05-06,no,2029-01-18,2024-05-07,34.5,Minute Creek,Port Renfrew area,33.76,10.55,10.55,0.0,6341,2744,overlaps ancient old growth (over 400 yr); in a priority-deferral area,103.4
C058C3HX,1220,Comment closed,2024-04-03,2024-05-06,no,2025-10-09,2024-05-07,29.5,Tom Baird Creek,Port Renfrew area,29.48,5.23,5.23,0.0,7681,9360,overlaps ancient old growth (over 400 yr); in a priority-deferral area,70.4
C059C4NE,1220,Comment closed,2024-04-03,2024-05-06,no,2028-07-06,2024-05-07,31.6,Payzant Creek,San Juan River,28.93,0.0,0.0,0.0,4278,5007,overlaps mapped old growth,43.4
SJlo5K4,1220,Comment closed,2024-04-03,2024-05-06,no,2029-01-18,2024-05-07,22.0,Minute Creek,Port Renfrew area,21.8,1.08,1.08,0.0,6817,2862,overlaps ancient old growth (over 400 yr); in a priority-deferral area,38.1
OSJosj5BR,1220,Comment closed,2024-04-03,2024-05-06,no,2025-07-03,2024-05-07,39.5,Harris Creek,Harris Creek,21.13,0.0,0.0,0.0,7825,4907,overlaps mapped old growth,31.7
SJlo5KM,2295,Comment closed,2025-05-21,2025-06-21,no,2028-07-06,2025-06-25,24.5,Falls Creek,San Juan River,17.4,0.0,0.0,0.0,3730,4210,overlaps mapped old growth,26.1
9609,1220,Comment closed,2024-04-03,2024-05-06,no,2028-04-01,2024-05-07,11.1,Bavis Creek,San Juan River,11.07,0.0,0.0,0.0,5723,292,overlaps mapped old growth; near a fish record,24.6
SJsj594,1220,Comment closed,2024-04-03,2024-05-06,no,2028-05-04,2024-05-07,13.4,Red Creek,San Juan River,13.16,0.0,0.0,0.0,2638,575,overlaps mapped old growth,19.7
SJlo5KM,1220,Comment closed,2024-04-03,2024-05-06,no,2028-07-06,2024-05-07,14.7,Falls Creek,San Juan River,9.82,0.0,0.0,0.0,3730,4209,overlaps mapped old growth,14.7
SJsj5P8,2295,Comment closed,2025-05-21,2025-06-21,no,2026-07-03,2025-06-25,51.3,San Juan River,San Juan River,0.18,0.0,0.0,0.0,255,34,overlaps mapped old growth; near a fish record; near a recreation site,13.3
SJsj5P8,1220,Comment closed,2024-04-03,2024-05-06,no,2025-07-03,2024-05-07,51.2,San Juan River,San Juan River,0.18,0.0,0.0,0.0,254,35,overlaps mapped old growth; near a fish record; near a recreation site,13.3
LCN39A,1448,Comment closed,2024-04-25,2024-05-25,no,2024-07-15,2024-08-16,4.1,Gain Creek,Port Renfrew area,3.26,0.0,0.0,0.0,7750,239,overlaps mapped old growth; near a fish record,12.9
LCN39A,1571,Comment closed,2024-06-06,2024-07-06,no,2024-07-15,2024-07-24,3.8,Gain Creek,Port Renfrew area,3.25,0.0,0.0,0.0,7750,239,overlaps mapped old growth; near a fish record,12.9
LCN24,1448,Comment closed,2024-04-25,2024-05-25,no,2024-07-15,2024-08-16,7.3,Gain Creek,Port Renfrew area,6.87,0.0,0.0,0.0,7942,702,overlaps mapped old growth,10.3
