tier,identifier,opening_id,vccb_sysid,harvest_start_date,harvest_start_year,block_area_ha,watershed,deferral_overlap_ha,oldgrowth_overlap_ha,ancient_overlap_ha,ogma_overlap_ha,nearest_stream_m,nearest_rec_site_m,nearest_rec_site,nearest_fish_record_m,after_deferral_recommendation,risk_flags,priority_score
1,OPENING_ID 1769032,1769032,546986,2021-05-13,2021,17.5,Gordon River,16.4,17.14,0.0,0.0,0.0,3108.0,FAIRY LAKE,5473.0,False,priority-deferral; old growth (TAP); stream,135.4
1,OPENING_ID 1768791,1768791,546898,2021-05-17,2021,30.0,Gordon River,6.64,29.94,0.0,0.0,5.0,3914.0,Avatar Grove Hiking Trails,13059.0,False,priority-deferral; old growth (TAP); stream,125.0
1,OPENING_ID 1770515,1770515,547848,2021-07-08,2021,24.2,Caycuse River,6.74,23.44,0.0,0.0,0.0,13119.0,NITINAT LAKE,18689.0,False,priority-deferral; old growth (TAP); stream,106.0
1,OPENING_ID 1793213,1793213,579168,2023-07-06,2023,22.5,Port Renfrew area,3.61,22.49,3.61,0.0,0.0,5226.0,SAN JUAN RIVER,1344.0,True,priority-deferral; old growth (TAP); stream,87.5
1,OPENING_ID 1771446,1771446,548701,2022-05-02,2022,18.8,Port Renfrew area,5.21,18.23,5.21,0.0,0.0,11957.0,SAN JUAN RIVER,6246.0,True,priority-deferral; old growth (TAP); stream,82.7
1,OPENING_ID 1760890,1760890,541401,2021-05-03,2021,24.3,Port Renfrew area,1.31,24.11,1.31,0.0,0.0,5863.0,SAN JUAN RIVER,832.0,False,priority-deferral; old growth (TAP); stream,80.9
1,OPENING_ID 1770235,1770235,547695,2020-05-21,2020,16.7,Renfrew Creek,9.06,9.06,0.0,0.0,0.0,5457.0,FAIRY LAKE,2144.0,False,priority-deferral; old growth (TAP); stream,74.5
1,VCCB_SYSID 75574,,75574,2020-01-01,2020,9.0,Port Renfrew area,7.67,8.96,1.82,0.0,24.0,11699.0,SAN JUAN RIVER,6229.0,False,priority-deferral; old growth (TAP); stream,67.2
1,OPENING_ID 1754768,1754768,536378,2021-03-31,2021,11.0,Caycuse River,5.55,11.04,0.0,0.0,48.0,10468.0,NITINAT LAKE,20718.0,False,priority-deferral; old growth (TAP); stream,62.9
1,OPENING_ID 1744357,1744357,528406,2020-05-14,2020,14.4,Gordon River,6.33,9.1,0.0,0.0,0.0,5273.0,Avatar Grove Hiking Trails,5020.0,False,priority-deferral; old growth (TAP); stream,60.9
1,OPENING_ID 1748775,1748775,532240,2020-10-06,2020,15.2,Caycuse River,2.51,15.2,1.42,0.0,0.0,11019.0,NITINAT LAKE,21430.0,False,priority-deferral; old growth (TAP); stream,60.1
1,OPENING_ID 1797384,1797384,583400,2023-07-04,2023,17.9,Walbran Creek,6.34,8.61,2.98,0.0,0.0,11579.0,Avatar Grove Hiking Trails,14693.0,True,priority-deferral; old growth (TAP); stream,59.5
1,OPENING_ID 1754759,1754759,536373,2021-03-31,2021,6.6,Caycuse River,6.4,6.61,0.0,0.13,11.0,11931.0,NITINAT LAKE,19345.0,False,priority-deferral; old growth (TAP); legal OGMA; stream,54.0
1,OPENING_ID 1783894,1783894,568543,2023-05-09,2023,14.9,Port Renfrew area,0.0,14.87,0.0,0.0,15.0,15693.0,SAN JUAN RIVER,9931.0,False,old growth (TAP); stream,46.6
1,OPENING_ID 1754798,1754798,536388,2021-03-31,2021,7.6,Caycuse River,3.62,7.64,0.0,0.0,0.0,12329.0,NITINAT LAKE,19214.0,False,priority-deferral; old growth (TAP); stream,43.0
1,OPENING_ID 1773891,1773891,550598,2022-03-19,2022,18.5,Gordon River,0.0,13.28,0.0,0.0,28.0,8757.0,Avatar Grove Hiking Trails,14252.0,False,old growth (TAP); stream,41.9
1,OPENING_ID 1797420,1797420,583435,2023-07-19,2023,5.8,Walbran Creek,4.95,4.95,4.95,0.0,0.0,11396.0,Avatar Grove Hiking Trails,14841.0,True,priority-deferral; old growth (TAP); stream,41.6
1,OPENING_ID 1760892,1760892,541403,2021-05-25,2021,12.4,Port Renfrew area,0.0,12.32,0.0,0.0,0.0,4110.0,SAN JUAN RIVER,2277.0,False,old growth (TAP); stream,38.9
1,OPENING_ID 1794932,1794932,580940,2024-06-06,2024,11.6,Port Renfrew area,0.0,11.57,0.0,0.0,0.0,5044.0,SAN JUAN RIVER,2505.0,False,old growth (TAP); stream,36.7
1,OPENING_ID 1775273,1775273,559961,2022-04-04,2022,4.4,Port Renfrew area,4.27,4.27,4.27,0.0,25.0,10538.0,SAN JUAN RIVER,3944.0,True,priority-deferral; old growth (TAP); stream,36.2
1,OPENING_ID 1754759,1754759,536371,2021-03-31,2021,5.9,Caycuse River,3.13,5.86,0.0,0.1,0.0,12341.0,NITINAT LAKE,19082.0,False,priority-deferral; old growth (TAP); legal OGMA; stream,35.3
1,OPENING_ID 1783893,1783893,568542,2022-12-01,2022,10.3,Port Renfrew area,0.0,9.87,0.0,0.0,18.0,14258.0,SAN JUAN RIVER,8276.0,False,old growth (TAP); stream,31.6
1,OPENING_ID 1725461,1725461,515070,2019-05-01,2019,8.8,Caycuse River,2.96,3.2,0.0,0.0,0.0,13476.0,NITINAT LAKE,17927.0,False,priority-deferral; old growth (TAP); stream,26.4
1,OPENING_ID 1798078,1798078,584125,2019-04-04,2019,14.6,Walbran Creek,2.38,3.97,2.38,0.0,0.0,9604.0,Avatar Grove Hiking Trails,16997.0,False,priority-deferral; old growth (TAP); stream,25.8
1,OPENING_ID 1770235,1770235,547696,2020-05-21,2020,3.6,Renfrew Creek,2.92,2.92,0.0,0.0,10.0,5826.0,FAIRY LAKE,2188.0,False,priority-deferral; old growth (TAP); stream,25.3
1,OPENING_ID 1783892,1783892,568541,2022-06-24,2022,16.4,Port Renfrew area,0.0,7.66,0.0,0.0,0.0,9143.0,SAN JUAN RIVER,3675.0,False,old growth (TAP); stream,25.0
1,OPENING_ID 1769011,1769011,546976,2021-05-13,2021,5.9,Gordon River,1.12,5.86,0.0,0.0,218.0,4012.0,FAIRY LAKE,6203.0,False,priority-deferral; old growth (TAP),23.2
1,OPENING_ID 1794978,1794978,580968,2024-09-09,2024,7.3,Port Renfrew area,0.0,6.88,0.0,0.0,334.0,7939.0,SAN JUAN RIVER,702.0,False,old growth (TAP),20.7
1,OPENING_ID 1794931,1794931,580939,2024-06-10,2024,5.6,Port Renfrew area,0.0,5.52,0.0,0.0,0.0,7337.0,SAN JUAN RIVER,45.0,False,old growth (TAP); stream; fish record,20.6
1,OPENING_ID 1794977,1794977,580967,2024-09-09,2024,12.2,Port Renfrew area,0.0,5.79,0.0,0.0,27.0,7745.0,SAN JUAN RIVER,1509.0,False,old growth (TAP); stream,19.4
1,OPENING_ID 1771432,1771432,548687,2022-06-01,2022,5.8,Port Renfrew area,0.0,5.5,0.0,0.0,0.0,7554.0,SAN JUAN RIVER,578.0,False,old growth (TAP); stream,18.5
